Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Part des prestations sociales dans le rev. disp. 2021;Part des pers. âgées de 75 ans ou + 2020;Médiane du niveau de vie 2021;Part des revenus d'activité dans le rev. disp. 2021;Part des pensions, retraites et rentes dans le rev. disp. 2021;Part des non ou peu diplômés dans la pop. non scolarisée de 15 ans ou + 2020;Part des pers., dont le diplôme le plus élevé est le bac, dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+2 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+3  ou BAC+4 dans la pop. non scolarisée de 15 ans ou + 2020;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2020;Part des revenus du patrimoine et autres dans le rev. disp. 2021
200036150;CC des Hauts du Val de Saône;8359;6;13.6;20310;58.2;40.6;31.2;14.8;7;4;2.6;7.1
200036465;CC de Thann-Cernay;37610;4.7;9.9;24010;74.2;30.4;22;16.5;12.5;8;6.7;6.6
200036473;CA de Saintes;60641;5.4;12.2;22640;64.2;37.6;20.1;17.7;11.4;8.6;7;7.7
200036499;CC de Marana-Golo;24812;5.5;6.9;22570;76.9;24.9;20;23.6;10.8;9.3;6.9;8.8
200036523;CC des Bastides en Haut Agenais Périgord;16993;4.9;15.6;20730;56.6;40.6;24.5;18.2;9.3;6.9;5.2;10.9
200036549;CC Val de Gray;20269;6.5;13;21460;64.4;34.3;29.1;16.5;8.7;5.5;3.8;8
200037059;CC de la Haute Somme (Combles - Péronne - Roisel);26606;7;10.3;20620;65.8;31.5;31.8;16.5;8.6;5.2;3.9;9.3
200037133;CC du Provinois;34480;6.2;8.7;22360;73.8;27.2;27.5;17.7;9.2;6.4;5.6;8.3
200038958;CC de la Pieve de l'Ornano et du Taravo;13150;3.4;14.4;25270;61.2;40.3;17.6;23.6;10.9;10.4;9.4;14.4
200038990;CC de Saint-Méen Montauban;27084;5.2;9.1;22590;77.2;24;21.6;19.5;11.8;7.8;5;6.9
200039022;CA Vitré Communauté;82753;4.6;8.4;23120;77.5;22.2;21;18.4;12.5;7.6;6.1;10
200039055;CC Ouche et Montagne;11119;2.9;8.4;25760;75.8;29;13.6;19.2;14.8;12.2;9.2;8.4
200039063;CC Forêts, Seine et Suzon;7050;2.6;12;27270;76.6;28.6;17.2;17.8;15;10.5;11.8;10.8
200039204;CC de Lacq-Orthez;52909;5.1;12.7;22680;65.5;34.8;20.4;18.5;11.2;7;4.9;8.3
200039519;CC du Quercy Blanc;7724;4.8;15.5;20980;56.7;41;21.7;20;11.3;8.9;6.1;11
200039642;CC Le Tonnerrois en Bourgogne;15200;6.7;14.2;21020;58.1;40.2;32.2;14.7;7.1;5.1;3.7;8.3
200039709;CC du Serein;7058;4.5;14.2;22360;62;37.8;25.8;17.2;8.7;6.2;4.4;9.5
200039758;CC Avallon, Vézelay, Morvan;18474;5.8;12.8;21540;60.8;38.9;25.6;15.8;8.3;6.6;5.7;8.6
200039808;CC des Gorges de l'Ardèche;15556;4.5;13.1;21650;53.7;43.2;19.6;19.2;11.2;8;5.6;12.4
200039824;CC Ardèche des Sources et Volcans;9716;6;15;20210;54.7;42.6;23.6;17.4;9.9;7.9;4.8;8.7
200039832;CC Pays des Vans en Cévennes;9437;6.2;16;20020;48.2;46.9;19.4;18.7;11.3;10.4;6.8;11.8
200039857;CA du Pays de Grasse;100534;4.4;10.2;24730;75.9;26;18.9;18.1;11.4;10.1;11.3;12
200039865;Metz Métropole;228999;5.7;8.6;23000;68.1;27.5;19.5;16.6;11.6;11.3;13;14.8
200039907;CC du Sud Messin;16826;3.1;6.3;26050;78.6;23.8;14.1;18.7;14.8;10.3;7.6;9.8
200039915;CA Cannes Pays de Lérins;157452;4.7;15.7;22610;65.1;33;21.5;19.5;10.2;9.4;10.9;16.2
200039931;CC Alpes d'Azur;9885;5.3;12.8;21040;67.1;33.1;21.4;19.3;9.4;7;6.5;8.5
200039949;CC Rives de Moselle;53004;4.3;9.4;23340;61.1;24.6;20.5;17.7;11.5;8.9;7.4;22
200040038;CC Saône Doubs Bresse;12081;3.9;10.2;22870;74.5;28.7;22;17.8;10.4;5.5;3.8;6.9
200040095;CC Isle Vern Salembre en Périgord;18851;5.8;13.7;21610;60.8;39.9;25.4;17.4;9;6.2;3.7;5.8
200040111;CC Cœur de Chartreuse;17129;4;9.5;23870;73.9;28.3;19.4;17.7;12.2;10.1;8.4;8
200040137;CC des Lacs de Champagne;9093;6;12.6;21450;62.2;36.7;31.2;14.8;8.7;4.2;3.5;8.8
200040178;CC de l'Outre-Forêt;16177;3;8.5;25150;80.2;25.4;21.4;17.2;10.6;6.3;4.4;6.9
200040202;CC Provence Verdon;22672;4.9;10.5;22330;66.1;34.6;20.1;18.2;11.8;7.9;6.8;8.6
200040210;CC Lacs et Gorges du Verdon;9099;5;13;21380;50.8;46.9;18.8;20.4;10.1;8;6.3;11.6
200040244;CA du Bocage Bressuirais;74122;5.6;10.8;21180;70;29.3;27.5;17;10.3;5.8;3.5;7.7
200040251;CC Bassée-Montois;23105;4.3;8.7;23800;75.6;28.4;23.4;18.3;10;6.4;4.3;6.7
200040277;CA Agglo du Pays de Dreux;115490;6.5;8.3;22330;73.3;28.3;27.1;17.6;10.1;6.5;5.2;6.5
200040293;CC du Clunisois;13987;4.1;14.7;22860;61.3;39.4;19.1;17;11.8;9.5;9.7;10.1
200040350;CC Bugey Sud;34115;4.7;10.7;22820;67;33.7;21.3;17.8;10.7;8.3;6.6;9
200040384;CC Isle Double Landais;12450;6.8;15.2;20770;56.9;41.7;27.3;16.5;9.4;5.2;3.5;6.6
200040392;CA Le Grand Périgueux;104024;5.7;11.4;22420;66.3;34.5;18.8;19.2;11.2;9.2;6.9;8.2
200040400;CC du Périgord Ribéracois;19433;5.7;15.7;20780;54.7;43.6;28.4;17.6;8;6.9;4.5;8.5
200040418;CC du Pays de Serres en Quercy;8378;5.9;16.4;19800;53.5;40.6;26.9;17.8;9.2;8.3;5.4;12.3
200040426;CC du Val de l'Oise;15847;6;8.6;22090;70;30.6;27.8;16.4;10.8;5.9;3.5;7.3
